,player,age,nationality,position,selling_club,previous_league,est_market_value,fee,buying_club,window,year,buying_league
1,Pablo Fornals,23,Spain,Attacking Midfield,Villarreal CF,Spain,£22.50m,£25.20m,West Ham United,s_w=s,2019,GB1
2,Albian Ajeti,22,Switzerland,Centre-Forward,FC Basel 1893,Switzerland,£6.30m,£7.83m,West Ham United,s_w=s,2019,GB1
3,Gonçalo Cardoso,18,Portugal,Centre-Back,Boavista FC,Portugal,£2.25m,£2.70m,West Ham United,s_w=s,2019,GB1
4,Roberto,33,Spain,Goalkeeper,RCD Espanyol Barcelona,Spain,£1.35m,free transfer,West Ham United,s_w=s,2019,GB1
5,David Martin,33,England,Goalkeeper,Millwall FC,England,£225Th.,free transfer,West Ham United,s_w=s,2019,GB1
6,Edimilson Fernandes,23,Switzerland,Central Midfield,ACF Fiorentina,Italy,£7.20m,"End of loanJun 30, 2019",West Ham United,s_w=s,2019,GB1
7,Reece Oxford,20,England,Defensive Midfield,FC Augsburg,Germany,£3.60m,"End of loanJun 30, 2019",West Ham United,s_w=s,2019,GB1
0,Ismaïla Sarr,21,Senegal,Right Winger,Stade Rennais FC,France,£27.00m,£27.00m,Watford FC,s_w=s,2019,GB1
1,Craig Dawson,29,England,Centre-Back,West Bromwich Albion,England,£5.40m,£5.40m,Watford FC,s_w=s,2019,GB1
2,Tom Dele-Bashiru,19,Nigeria,Central Midfield,Manchester City U23,England,£135Th.,free transfer,Watford FC,s_w=s,2019,GB1
3,Danny Welbeck,28,England,Centre-Forward,Arsenal FC,England,£10.80m,free transfer,Watford FC,s_w=s,2019,GB1
4,Jorge Segura,23,Colombia,Centre-Back,Envigado FC,Colombia,£720Th.,"End of loanJul 31, 2020",Watford FC,s_w=s,2019,GB1
5,Cucho Hernández,20,Colombia,Centre-Forward,SD Huesca,Spain,£9.00m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
6,Luis Suárez,21,Colombia,Centre-Forward,Gimnàstic de Tarragona,Spain,£720Th.,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
7,Dodi Lukebakio,21,Belgium,Right Winger,Fortuna Düsseldorf,Germany,£16.20m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
8,Pervis Estupiñán,21,Ecuador,Left-Back,RCD Mallorca,Spain,£1.80m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
9,Obbi Oulare,23,Belgium,Centre-Forward,Standard Liège,Belgium,£1.62m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
10,Dimitri Foulquier,26,Guadeloupe,Right-Back,Getafe CF,Spain,£3.15m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
11,Stefano Okaka,29,Italy,Centre-Forward,Udinese Calcio,Italy,£4.50m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
12,Marvin Zeegelaar,28,Netherlands,Left-Back,Udinese Calcio,Italy,£2.25m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
13,Filip Stuparevic,18,Serbia,Centre-Forward,FK Vozdovac,Serbia,£1.08m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
14,Ben Wilmot,19,England,Centre-Back,Udinese Calcio,Italy,£1.35m,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
15,Kwasi Sibo,21,Ghana,Central Midfield,KF Skënderbeu,Albania,£180Th.,"End of loanJun 30, 2019",Watford FC,s_w=s,2019,GB1
0,James McCarthy,28,Ireland,Central Midfield,Everton FC,England,£4.50m,£2.97m,Crystal Palace,s_w=s,2019,GB1
1,Jordan Ayew,27,Ghana,Centre-Forward,Swansea City,England,£7.20m,£2.52m,Crystal Palace,s_w=s,2019,GB1
2,Víctor Camarasa,25,Spain,Central Midfield,Real Betis Balompié,Spain,£9.00m,Loan fee:£1.35m,Crystal Palace,s_w=s,2019,GB1
3,Stephen Henderson,31,Ireland,Goalkeeper,Nottingham Forest,England,£450Th.,free transfer,Crystal Palace,s_w=s,2019,GB1
4,Gary Cahill,33,England,Centre-Back,Chelsea FC,England,£7.20m,free transfer,Crystal Palace,s_w=s,2019,GB1
5,Ryan Inniss,24,England,Centre-Back,Newport County,England,£135Th.,"End of loanMay 31, 2020",Crystal Palace,s_w=s,2019,GB1
6,Jaroslaw Jach,25,Poland,Centre-Back,Sheriff Tiraspol,Moldova,£765Th.,"End of loanAug 29, 2019",Crystal Palace,s_w=s,2019,GB1
7,Jason Puncheon,33,England,Attacking Midfield,Huddersfield Town,England,£2.70m,"End of loanJun 30, 2019",Crystal Palace,s_w=s,2019,GB1
8,Alexander Sörloth,23,Norway,Centre-Forward,KAA Gent,Belgium,£5.40m,"End of loanJun 30, 2019",Crystal Palace,s_w=s,2019,GB1
0,Joelinton,22,Brazil,Centre-Forward,TSG 1899 Hoffenheim,Germany,£31.50m,£39.60m,Newcastle United,s_w=s,2019,GB1
1,Allan Saint-Maximin,22,France,Left Winger,OGC Nice,France,£22.50m,£16.20m,Newcastle United,s_w=s,2019,GB1
2,Emil Krafth,25,Sweden,Right-Back,Amiens SC,France,£2.25m,£4.86m,Newcastle United,s_w=s,2019,GB1
3,Jetro Willems,25,Netherlands,Left-Back,Eintracht Frankfurt,Germany,£4.50m,Loan fee:£900Th.,Newcastle United,s_w=s,2019,GB1
4,Jake Turner,20,England,Goalkeeper,Bolton Wanderers,England,£90Th.,free transfer,Newcastle United,s_w=s,2019,GB1
5,Andy Carroll,30,England,Centre-Forward,West Ham United,England,£7.20m,free transfer,Newcastle United,s_w=s,2019,GB1
6,Dan Barlaser,23,England,Central Midfield,Rotherham United,England,-,"End of loanMay 31, 2020",Newcastle United,s_w=s,2019,GB1
7,Rolando Aarons,24,England,Left Winger,Motherwell FC,Scotland,£360Th.,"End of loanMay 31, 2020",Newcastle United,s_w=s,2019,GB1
8,Matthew Longstaff,19,England,Central Midfield,Newcastle United U23,England,-,-,Newcastle United,s_w=s,2019,GB1
9,Henri Saivet,28,Senegal,Attacking Midfield,Bursaspor,Turkey,£900Th.,"End of loanJun 30, 2019",Newcastle United,s_w=s,2019,GB1
0,Arnaut Danjuma,22,Netherlands,Left Winger,Club Brugge KV,Belgium,£10.80m,£16.20m,AFC Bournemouth,s_w=s,2019,GB1
1,Philip Billing,23,Denmark,Central Midfield,Huddersfield Town,England,£6.30m,£14.85m,AFC Bournemouth,s_w=s,2019,GB1
2,Lloyd Kelly,20,England,Centre-Back,Bristol City,England,£8.10m,£13.32m,AFC Bournemouth,s_w=s,2019,GB1
3,Jack Stacey,23,England,Right-Back,Luton Town,England,-,£4.01m,AFC Bournemouth,s_w=s,2019,GB1
4,Harry Wilson,22,Wales,Right Winger,Liverpool FC,England,£10.80m,Loan fee:£2.43m,AFC Bournemouth,s_w=s,2019,GB1
5,Jermain Defoe,37,England,Centre-Forward,Rangers FC,Scotland,£1.26m,"End of loanMay 31, 2020",AFC Bournemouth,s_w=s,2019,GB1
6,Matt Butcher,23,England,Defensive Midfield,St. Johnstone FC,Scotland,£68Th.,"End of loanMay 31, 2020",AFC Bournemouth,s_w=s,2019,GB1
7,Nnamdi Ofoborh,19,Nigeria,Central Midfield,AFC Bournemouth U21,England,£135Th.,-,AFC Bournemouth,s_w=s,2019,GB1
0,Bailey Peacock-Farrell,22,Northern Ireland,Goalkeeper,Leeds United,England,£1.35m,£2.48m,Burnley FC,s_w=s,2019,GB1
1,Erik Pieters,30,Netherlands,Left-Back,Stoke City,England,£4.50m,£990Th.,Burnley FC,s_w=s,2019,GB1
2,Danny Drinkwater,29,England,Central Midfield,Chelsea FC,England,£7.20m,loan transfer,Burnley FC,s_w=s,2019,GB1
3,Aiden O'Neill,20,Australia,Central Midfield,Central Coast Mariners,Australia,£450Th.,"End of loanJun 30, 2019",Burnley FC,s_w=s,2019,GB1
4,Ntumba Massanka,22,England,Centre-Forward,RWD Molenbeek,Belgium,-,"End of loanJun 30, 2019",Burnley FC,s_w=s,2019,GB1
0,Danny Ings,26,England,Centre-Forward,Liverpool FC,England,£13.50m,£19.98m,Southampton FC,s_w=s,2019,GB1
1,Che Adams,22,England,Centre-Forward,Birmingham City,England,£6.30m,£15.03m,Southampton FC,s_w=s,2019,GB1
2,Moussa Djenepo,21,Mali,Left Winger,Standard Liège,Belgium,£10.80m,£14.13m,Southampton FC,s_w=s,2019,GB1
3,Kevin Danso,20,Austria,Centre-Back,FC Augsburg,Germany,£7.20m,Loan fee:£3.60m,Southampton FC,s_w=s,2019,GB1
4,Jack Rose,25,England,Goalkeeper,Walsall FC,England,£90Th.,"End of loanMay 31, 2020",Southampton FC,s_w=s,2019,GB1
5,Jake Hesketh,24,England,Attacking Midfield,Lincoln City,England,£180Th.,"End of loanMay 31, 2020",Southampton FC,s_w=s,2019,GB1
6,Guido Carrillo,28,Argentina,Centre-Forward,CD Leganés,Spain,£6.75m,"End of loanJun 30, 2019",Southampton FC,s_w=s,2019,GB1
7,Sofiane Boufal,25,Morocco,Left Winger,Celta de Vigo,Spain,£10.80m,"End of loanJun 30, 2019",Southampton FC,s_w=s,2019,GB1
8,Jordy Clasie,28,Netherlands,Defensive Midfield,Feyenoord Rotterdam,Netherlands,£4.95m,"End of loanJun 30, 2019",Southampton FC,s_w=s,2019,GB1
9,Wesley Hoedt,25,Netherlands,Centre-Back,Celta de Vigo,Spain,£10.80m,"End of loanJun 30, 2019",Southampton FC,s_w=s,2019,GB1
10,Cédric Soares,27,Portugal,Right-Back,Inter Milan,Italy,£10.80m,"End of loanJun 30, 2019",Southampton FC,s_w=s,2019,GB1
0,Adam Webster,24,England,Centre-Back,Bristol City,England,£8.10m,£20.00m,Brighton & Hove Albion,s_w=s,2019,GB1
1,Neal Maupay,22,France,Centre-Forward,Brentford FC,England,£10.80m,£20.00m,Brighton & Hove Albion,s_w=s,2019,GB1
2,Leandro Trossard,24,Belgium,Left Winger,KRC Genk,Belgium,£14.40m,£18.00m,Brighton & Hove Albion,s_w=s,2019,GB1
3,Matt Clarke,22,England,Centre-Back,Portsmouth FC,England,£180Th.,£3.51m,Brighton & Hove Albion,s_w=s,2019,GB1
4,Aaron Mooy,28,Australia,Central Midfield,Huddersfield Town,England,£12.60m,loan transfer,Brighton & Hove Albion,s_w=s,2019,GB1
5,Leon Balogun,31,Nigeria,Centre-Back,Wigan Athletic,England,£720Th.,"End of loanMay 31, 2020",Brighton & Hove Albion,s_w=s,2019,GB1
6,Aaron Connolly,19,Ireland,Centre-Forward,Brighton & Hove Albion U23,England,-,-,Brighton & Hove Albion,s_w=s,2019,GB1
7,Steven Alzate,20,Colombia,Central Midfield,Brighton & Hove Albion U23,England,-,-,Brighton & Hove Albion,s_w=s,2019,GB1
8,Ales Mateju,23,Czech Republic,Right-Back,Brescia Calcio,Italy,£1.53m,"End of loanJun 30, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
9,Percy Tau,25,South Africa,Attacking Midfield,Royale Union Saint Gilloise,Belgium,£3.15m,"End of loanJun 30, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
10,Markus Suttner,32,Austria,Left-Back,Fortuna Düsseldorf,Germany,£1.35m,"End of loanJun 30, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
11,Alexis Mac Allister,20,Argentina,Attacking Midfield,Asociación Atlética Argentinos Juniors,Argentina,£4.50m,"End of loanJun 30, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
12,Billy Arce,20,Ecuador,Left Winger,CS Emelec,Ecuador,£900Th.,"End of loanJun 2, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
13,Ezequiel Schelotto,30,Italy,Right-Back,Chievo Verona,Italy,£2.70m,"End of loanJun 30, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
14,Tudor Baluta,20,Romania,Defensive Midfield,FC Viitorul Constanța,Romania,£4.05m,"End of loanJun 30, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
15,Jan Mlakar,20,Slovenia,Centre-Forward,NK Maribor,Slovenia,£1.80m,"End of loanJun 30, 2019",Brighton & Hove Albion,s_w=s,2019,GB1
0,Ralf Fährmann,30,Germany,Goalkeeper,FC Schalke 04,Germany,£4.50m,Loan fee:£2.70m,Norwich City,s_w=s,2019,GB1
1,Sam Byram,25,England,Right-Back,West Ham United,England,£3.15m,£747Th.,Norwich City,s_w=s,2019,GB1
2,Daniel Adshead,17,England,Central Midfield,Rochdale AFC,England,-,£302Th.,Norwich City,s_w=s,2019,GB1
3,Josip Drmic,26,Switzerland,Centre-Forward,Borussia Mönchengladbach,Germany,£2.70m,free transfer,Norwich City,s_w=s,2019,GB1
4,Rocky Bushiri,19,Belgium,Centre-Back,KV Oostende,Belgium,£1.08m,?,Norwich City,s_w=s,2019,GB1
5,Ibrahim Amadou,26,France,Defensive Midfield,Sevilla FC,Spain,£6.30m,loan transfer,Norwich City,s_w=s,2019,GB1
6,Patrick Roberts,22,England,Right Winger,Manchester City,England,£4.50m,loan transfer,Norwich City,s_w=s,2019,GB1
7,Sam McCallum,19,England,Left-Back,Coventry City,England,-,"End of loanMay 31, 2020",Norwich City,s_w=s,2019,GB1
8,Louis Thompson,25,Wales,Defensive Midfield,Milton Keynes Dons,England,£225Th.,"End of loanMay 31, 2020",Norwich City,s_w=s,2019,GB1
9,Carlton Morris,24,England,Centre-Forward,Milton Keynes Dons,England,£135Th.,"End of loanMay 31, 2020",Norwich City,s_w=s,2019,GB1
10,Akin Famewo,21,England,Centre-Back,St. Mirren FC,Scotland,£23Th.,"End of loanMay 31, 2020",Norwich City,s_w=s,2019,GB1
11,Adam Idah,18,Ireland,Centre-Forward,Norwich City U23,England,-,-,Norwich City,s_w=s,2019,GB1
12,Mason Bloomfield,23,England,Centre-Forward,Crawley Town,England,£68Th.,"End of loanMay 31, 2020",Norwich City,s_w=s,2019,GB1
13,Marcel Franke,26,Germany,Centre-Back,SV Darmstadt 98,Germany,£900Th.,"End of loanJun 30, 2019",Norwich City,s_w=s,2019,GB1
0,Oliver McBurnie,23,Scotland,Centre-Forward,Swansea City,England,£7.20m,£17.19m,Sheffield United,s_w=s,2019,GB1
1,Lys Mousset,23,France,Centre-Forward,AFC Bournemouth,England,£3.15m,£9.99m,Sheffield United,s_w=s,2019,GB1
2,Callum Robinson,24,Ireland,Left Winger,Preston North End,England,£4.05m,£7.02m,Sheffield United,s_w=s,2019,GB1
3,Luke Freeman,27,England,Attacking Midfield,Queens Park Rangers,England,£3.15m,£5.04m,Sheffield United,s_w=s,2019,GB1
4,Ben Osborn,24,England,Left Midfield,Nottingham Forest,England,£2.70m,£3.51m,Sheffield United,s_w=s,2019,GB1
5,Phil Jagielka,36,England,Centre-Back,Everton FC,England,£900Th.,free transfer,Sheffield United,s_w=s,2019,GB1
6,Ravel Morrison,26,Jamaica,Attacking Midfield,Östersunds FK,Sweden,£270Th.,free transfer,Sheffield United,s_w=s,2019,GB1
7,Dean Henderson,22,England,Goalkeeper,Manchester United U23,England,£2.25m,loan transfer,Sheffield United,s_w=s,2019,GB1
8,Muhamed Besic,26,Bosnia-Herzegovina,Defensive Midfield,Everton FC,England,£4.50m,loan transfer,Sheffield United,s_w=s,2019,GB1
9,Michael Verrips,22,Netherlands,Goalkeeper,KV Mechelen,Belgium,£1.35m,free transfer,Sheffield United,s_w=s,2019,GB1
10,Jake Eastwood,23,England,Goalkeeper,Scunthorpe United,England,£90Th.,"End of loanMay 31, 2020",Sheffield United,s_w=s,2019,GB1
11,Nathan Thomas,25,England,Left Winger,Carlisle United,England,£225Th.,"End of loanMay 31, 2020",Sheffield United,s_w=s,2019,GB1
12,Ben Heneghan,26,England,Centre-Back,Blackpool FC,England,£360Th.,"End of loanMay 31, 2020",Sheffield United,s_w=s,2019,GB1
13,Kean Bryan,23,England,Centre-Back,Bolton Wanderers,England,£225Th.,"End of loanMay 31, 2020",Sheffield United,s_w=s,2019,GB1
0,Wesley,22,Brazil,Centre-Forward,Club Brugge KV,Belgium,£18.00m,£22.50m,Aston Villa,s_w=s,2019,GB1
1,Tyrone Mings,26,England,Centre-Back,AFC Bournemouth,England,£4.50m,£20.07m,Aston Villa,s_w=s,2019,GB1
2,Douglas Luiz,21,Brazil,Central Midfield,Manchester City,England,£2.25m,£15.12m,Aston Villa,s_w=s,2019,GB1
3,Matt Targett,23,England,Left-Back,Southampton FC,England,£6.30m,£13.95m,Aston Villa,s_w=s,2019,GB1
4,Ezri Konsa,21,England,Centre-Back,Brentford FC,England,£3.15m,£11.97m,Aston Villa,s_w=s,2019,GB1
5,Marvelous Nakamba,25,Zimbabwe,Defensive Midfield,Club Brugge KV,Belgium,£5.85m,£10.80m,Aston Villa,s_w=s,2019,GB1
6,Trezeguet,24,Egypt,Left Winger,Kasimpasa,Turkey,£5.40m,£9.00m,Aston Villa,s_w=s,2019,GB1
7,Anwar El Ghazi,24,Netherlands,Right Winger,LOSC Lille,France,£6.75m,£8.10m,Aston Villa,s_w=s,2019,GB1
8,Tom Heaton,33,England,Goalkeeper,Burnley FC,England,£2.70m,£7.92m,Aston Villa,s_w=s,2019,GB1
9,Björn Engels,24,Belgium,Centre-Back,Stade Reims,France,£5.40m,£7.20m,Aston Villa,s_w=s,2019,GB1
10,Jota Peleteiro,28,Spain,Right Winger,Birmingham City,England,£4.50m,£4.05m,Aston Villa,s_w=s,2019,GB1
11,Kortney Hause,23,England,Centre-Back,Wolverhampton Wanderers,England,£900Th.,£3.06m,Aston Villa,s_w=s,2019,GB1
12,Matija Sarkic,21,Montenegro,Goalkeeper,Aston Villa U23,England,£90Th.,-,Aston Villa,s_w=s,2019,GB1
13,Rushian Hepburn-Murphy,21,England,Centre-Forward,Derby County U23,England,£810Th.,"End of loanMay 31, 2020",Aston Villa,s_w=s,2019,GB1
14,Gary Gardner,27,England,Central Midfield,Birmingham City,England,£1.80m,"End of loanJun 30, 2019",Aston Villa,s_w=s,2019,GB1
15,Ritchie De Laet,30,Belgium,Right-Back,Melbourne City FC,Australia,£1.17m,"End of loanJun 30, 2019",Aston Villa,s_w=s,2019,GB1
16,Frédéric Guilbert,24,France,Right-Back,SM Caen,France,£5.40m,"End of loanJun 30, 2019",Aston Villa,s_w=s,2019,GB1
0,Thomas Partey,27,Ghana,Defensive Midfield,Atlético Madrid,Spain,£36.00m,£45.00m,Arsenal FC,s_w=w,2020,GB1
1,Dejan Iliev,25,North Macedonia,Goalkeeper,Shrewsbury Town,England,£270Th.,"End of loanJan 31, 2021",Arsenal FC,s_w=w,2020,GB1
0,Jakub Moder,21,Poland,Central Midfield,Lech Poznan,Poland,£2.70m,£9.90m,Brighton & Hove Albion,s_w=w,2020,GB1
1,Michal Karbownik,19,Poland,Left-Back,Legia Warszawa,Poland,£5.40m,£4.95m,Brighton & Hove Albion,s_w=w,2020,GB1
2,Andi Zeqiri,21,Switzerland,Centre-Forward,FC Lausanne-Sport,Switzerland,£1.35m,£3.60m,Brighton & Hove Albion,s_w=w,2020,GB1
3,Danny Welbeck,29,England,Centre-Forward,Without Club,Without Club,£4.95m,-,Brighton & Hove Albion,s_w=w,2020,GB1
4,Billy Arce,22,Ecuador,Left Winger,LDU Quito,Ecuador,£450Th.,"End of loanDec 31, 2020",Brighton & Hove Albion,s_w=w,2020,GB1
0,Richard Nartey,22,England,Centre-Back,Without Club,Without Club,-,-,Burnley FC,s_w=w,2020,GB1
0,Jack Butland,27,England,Goalkeeper,Stoke City,England,£3.15m,£990Th.,Crystal Palace,s_w=w,2020,GB1
1,Nathaniel Clyne,29,England,Right-Back,Liverpool FC,England,£7.20m,free transfer,Crystal Palace,s_w=w,2020,GB1
0,Ben Godfrey,22,England,Centre-Back,Norwich City,England,£14.40m,£24.75m,Everton FC,s_w=w,2020,GB1
1,Robin Olsen,30,Sweden,Goalkeeper,AS Roma,Italy,£4.50m,loan transfer,Everton FC,s_w=w,2020,GB1
2,Shani Tarashaj,25,Switzerland,Second Striker,FC Emmen,Netherlands,£270Th.,"End of loanOct 11, 2020",Everton FC,s_w=w,2020,GB1
0,Terence Kongolo,26,Netherlands,Centre-Back,Huddersfield Town,England,£5.85m,£3.96m,Fulham FC,s_w=w,2020,GB1
1,Tosin Adarabioyo,23,England,Centre-Back,Manchester City,England,£2.52m,£1.49m,Fulham FC,s_w=w,2020,GB1
2,Joachim Andersen,24,Denmark,Centre-Back,Olympique Lyon,France,£14.40m,Loan fee:£900Th.,Fulham FC,s_w=w,2020,GB1
3,Ruben Loftus-Cheek,24,England,Central Midfield,Chelsea FC,England,£21.60m,loan transfer,Fulham FC,s_w=w,2020,GB1
4,Anthony Knockaert,29,France,Right Winger,Nottingham Forest,England,£4.50m,"End of loanJan 7, 2021",Fulham FC,s_w=w,2020,GB1
0,Raphinha,23,Brazil,Right Winger,Stade Rennais FC,France,£14.40m,£16.72m,Leeds United,s_w=w,2020,GB1
1,Ryan Edmondson,19,England,Centre-Forward,Aberdeen FC,Scotland,-,"End of loanDec 31, 2020",Leeds United,s_w=w,2020,GB1
0,Wesley Fofana,19,France,Centre-Back,AS Saint-Étienne,France,£9.00m,£31.50m,Leicester City,s_w=w,2020,GB1
1,Matty James,29,England,Central Midfield,Barnsley FC,England,£1.08m,"End of loanJan 1, 2021",Leicester City,s_w=w,2020,GB1
0,Ben Woodburn,21,Wales,Attacking Midfield,Blackpool FC,England,£4.05m,"End of loanJan 17, 2021",Liverpool FC,s_w=w,2020,GB1
0,Filip Stevanovic,18,Serbia,Left Winger,FK Partizan Belgrade,Serbia,£7.20m,£7.65m,Manchester City,s_w=w,2020,GB1
1,Nahuel Bustos,22,Argentina,Centre-Forward,Club Atlético Talleres,Argentina,£6.03m,£5.85m,Manchester City,s_w=w,2020,GB1
0,Amad Diallo,18,Cote d'Ivoire,Right Winger,Atalanta BC,Italy,£13.50m,£18.90m,Manchester United,s_w=w,2020,GB1
1,Alex Telles,27,Brazil,Left-Back,FC Porto,Portugal,£36.00m,£13.50m,Manchester United,s_w=w,2020,GB1
2,Facundo Pellistri,18,Uruguay,Right Winger,CA Peñarol,Uruguay,£1.62m,£7.65m,Manchester United,s_w=w,2020,GB1
3,Edinson Cavani,33,Uruguay,Centre-Forward,Paris Saint-Germain,France,£18.00m,free transfer,Manchester United,s_w=w,2020,GB1
0,Rhian Brewster,20,England,Centre-Forward,Liverpool FC,England,£4.86m,£23.40m,Sheffield United,s_w=w,2020,GB1
1,Jake Eastwood,24,England,Goalkeeper,Kilmarnock FC,Scotland,£90Th.,"End of loanJan 1, 2021",Sheffield United,s_w=w,2020,GB1
0,Ibrahima Diallo,21,France,Defensive Midfield,Stade Brest 29,France,£13.50m,£13.50m,Southampton FC,s_w=w,2020,GB1
1,Theo Walcott,31,England,Right Winger,Everton FC,England,£10.80m,loan transfer,Southampton FC,s_w=w,2020,GB1
2,Josh Sims,23,England,Right Winger,Doncaster Rovers,England,£1.44m,"End of loanJan 16, 2021",Southampton FC,s_w=w,2020,GB1
0,Joe Rodon,22,Wales,Centre-Back,Swansea City,England,£6.30m,£10.89m,Tottenham Hotspur,s_w=w,2020,GB1
1,Carlos Vinícius,25,Brazil,Centre-Forward,SL Benfica,Portugal,£18.00m,Loan fee:£2.70m,Tottenham Hotspur,s_w=w,2020,GB1
0,Karlan Grant,23,England,Centre-Forward,Huddersfield Town,England,£5.85m,£14.85m,West Bromwich Albion,s_w=w,2020,GB1
1,Kenneth Zohore,26,Denmark,Centre-Forward,Millwall FC,England,£3.15m,"End of loanJan 16, 2021",West Bromwich Albion,s_w=w,2020,GB1
0,Vladimir Coufal,28,Czech Republic,Right-Back,SK Slavia Prague,Czech Republic,£1.80m,£5.40m,West Ham United,s_w=w,2020,GB1
1,Saïd Benrahma,25,Algeria,Left Winger,Brentford FC,England,£19.80m,Loan fee:£3.96m,West Ham United,s_w=w,2020,GB1
2,Craig Dawson,30,England,Centre-Back,Watford FC,England,£4.32m,loan transfer,West Ham United,s_w=w,2020,GB1
3,Winston Reid,32,New Zealand,Centre-Back,Sporting Kansas City,United States,£1.80m,"End of loanDec 31, 2020",West Ham United,s_w=w,2020,GB1
0,Rayan Aït Nouri,19,France,Left-Back,SCO Angers,France,£18.00m,loan transfer,Wolverhampton Wanderers,s_w=w,2020,GB1
1,Renat Dadashov,21,Azerbaijan,Centre-Forward,Grasshopper Club Zurich,Switzerland,£315Th.,"End of loanOct 8, 2020",Wolverhampton Wanderers,s_w=w,2020,GB1
0,Thomas Partey,27,Ghana,Defensive Midfield,Atlético Madrid,Spain,£36.00m,£45.00m,Arsenal FC,s_w=s,2020,GB1
1,Gabriel,22,Brazil,Centre-Back,LOSC Lille,France,£18.00m,£23.40m,Arsenal FC,s_w=s,2020,GB1
2,Pablo Marí,26,Spain,Centre-Back,Clube de Regatas do Flamengo,Brazil,£4.32m,£7.20m,Arsenal FC,s_w=s,2020,GB1
3,Rúnar Alex Rúnarsson,25,Iceland,Goalkeeper,Dijon FCO,France,£1.08m,£1.80m,Arsenal FC,s_w=s,2020,GB1
4,Cédric Soares,28,Portugal,Right-Back,Southampton FC,England,£7.20m,free transfer,Arsenal FC,s_w=s,2020,GB1
5,Willian,32,Brazil,Right Winger,Chelsea FC,England,£20.25m,free transfer,Arsenal FC,s_w=s,2020,GB1
6,Emile Smith Rowe,20,England,Central Midfield,Arsenal FC U23,England,£2.43m,-,Arsenal FC,s_w=s,2020,GB1
7,William Saliba,19,France,Centre-Back,AS Saint-Étienne,France,£20.25m,"End of loanJun 30, 2020",Arsenal FC,s_w=s,2020,GB1
8,Mohamed Elneny,28,Egypt,Defensive Midfield,Besiktas JK,Turkey,£4.50m,"End of loanAug 3, 2020",Arsenal FC,s_w=s,2020,GB1
9,Henrikh Mkhitaryan,31,Armenia,Attacking Midfield,AS Roma,Italy,£18.00m,"End of loanAug 31, 2020",Arsenal FC,s_w=s,2020,GB1
10,Dejan Iliev,25,North Macedonia,Goalkeeper,Jagiellonia Bialystok,Poland,£270Th.,"End of loanJul 31, 2020",Arsenal FC,s_w=s,2020,GB1
0,Ollie Watkins,24,England,Centre-Forward,Brentford FC,England,£10.80m,£27.72m,Aston Villa,s_w=s,2020,GB1
1,Bertrand Traoré,25,Burkina Faso,Right Winger,Olympique Lyon,France,£8.55m,£16.56m,Aston Villa,s_w=s,2020,GB1
2,Emiliano Martínez,28,Argentina,Goalkeeper,Arsenal FC,England,£7.20m,£15.66m,Aston Villa,s_w=s,2020,GB1
3,Matty Cash,23,England,Right-Back,Nottingham Forest,England,£4.32m,£14.18m,Aston Villa,s_w=s,2020,GB1
4,Ross Barkley,26,England,Central Midfield,Chelsea FC,England,£19.35m,loan transfer,Aston Villa,s_w=s,2020,GB1
5,James Bree,22,England,Right-Back,Luton Town,England,£1.08m,"End of loanJul 23, 2020",Aston Villa,s_w=s,2020,GB1
6,Lovre Kalinic,30,Croatia,Goalkeeper,FC Toulouse,France,£2.52m,"End of loanJun 30, 2020",Aston Villa,s_w=s,2020,GB1
0,Jakub Moder,21,Poland,Central Midfield,Lech Poznan,Poland,£2.70m,£9.90m,Brighton & Hove Albion,s_w=s,2020,GB1
1,Michal Karbownik,19,Poland,Left-Back,Legia Warszawa,Poland,£5.40m,£4.95m,Brighton & Hove Albion,s_w=s,2020,GB1
2,Andi Zeqiri,21,Switzerland,Centre-Forward,FC Lausanne-Sport,Switzerland,£1.35m,£3.60m,Brighton & Hove Albion,s_w=s,2020,GB1
3,Jan Paul van Hecke,20,Netherlands,Centre-Back,NAC Breda,Netherlands,£1.62m,£1.80m,Brighton & Hove Albion,s_w=s,2020,GB1
4,Joël Veltman,28,Netherlands,Centre-Back,Ajax Amsterdam,Netherlands,£7.20m,£900Th.,Brighton & Hove Albion,s_w=s,2020,GB1
5,Adam Lallana,32,England,Attacking Midfield,Liverpool FC,England,£8.55m,free transfer,Brighton & Hove Albion,s_w=s,2020,GB1
